epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.0088,0.53425,2.36583,1.06597,0.00262,1,0.61202,0.53762,0.31947,3.46336,0.6699,0.00031673,0.00031673,0.00031673
2,180.093,0.51733,1.72063,1.04871,0.53447,0.71994,0.62569,0.56812,0.45012,2.95377,0.79283,0.000643694,0.000643694,0.000643694
3,265.309,0.55822,1.64332,1.01706,0.44474,0.52431,0.46071,0.29234,0.84823,3.47593,1.42866,0.000964056,0.000964056,0.000964056
4,366.477,0.62015,1.50125,1.07517,0.08641,0.625,0.17158,0.09696,0.8886,16.6863,1.61626,0.00127782,0.00127782,0.00127782
5,466.085,0.57185,1.44607,1.07112,0.31773,0.46875,0.31683,0.24908,0.72397,3.63102,1.13953,0.00158498,0.00158498,0.00158498
6,554.418,0.60805,1.3552,1.05978,0.38708,0.40451,0.23997,0.13393,0.85417,4.89026,1.22574,0.00158448,0.00158448,0.00158448
7,642.708,0.55536,1.30489,1.03872,0.8374,0.47736,0.63736,0.53929,0.56198,3.05675,1.13289,0.00156798,0.00156798,0.00156798
8,732.698,0.55556,1.16924,1.03648,0.45123,0.63021,0.57896,0.43887,0.71445,2.26978,1.11289,0.00155148,0.00155148,0.00155148
9,818.996,0.55757,1.23752,1.03072,0.36223,0.89062,0.79739,0.67314,0.53098,5.25476,0.93354,0.00153497,0.00153497,0.00153497
10,904.708,0.48927,1.02635,0.99664,0.58382,0.79688,0.80662,0.69283,0.52329,2.00732,0.83061,0.00151847,0.00151847,0.00151847
11,988.114,0.53323,1.00602,1.01619,0.84577,0.90131,0.94405,0.88183,0.34231,1.23687,0.70916,0.00150197,0.00150197,0.00150197
12,1072.01,0.50626,0.92066,0.99949,0.84385,0.62847,0.82008,0.69781,0.4695,1.6978,0.78018,0.00148546,0.00148546,0.00148546
13,1160.23,0.49148,0.99415,1.00182,0.6067,0.84549,0.78038,0.69162,0.46424,1.36444,0.79689,0.00146896,0.00146896,0.00146896
14,1246.35,0.51695,0.99999,1.03778,0.6774,0.78646,0.71997,0.62122,0.51607,1.59014,0.77427,0.00145246,0.00145246,0.00145246
15,1330.75,0.52792,0.99618,1.01659,0.79441,0.88368,0.85772,0.76186,0.48835,1.32486,0.79326,0.00143595,0.00143595,0.00143595
16,1414.16,0.53124,0.9645,1.01433,0.67133,0.78144,0.70941,0.55191,0.56143,1.75915,0.81332,0.00141945,0.00141945,0.00141945
17,1497.09,0.46332,0.86421,0.97112,0.80467,0.87045,0.82547,0.75359,0.43454,1.4219,0.74178,0.00140295,0.00140295,0.00140295
18,1580.27,0.48535,0.9182,1.00462,0.52813,0.7064,0.52795,0.4705,0.44605,2.17721,0.75786,0.00138644,0.00138644,0.00138644
19,1665.1,0.50059,0.96299,1.00778,0.7433,0.79167,0.82924,0.72107,0.43383,1.19026,0.78184,0.00136994,0.00136994,0.00136994
20,1749.37,0.50434,0.91664,1.00202,0.67383,0.91055,0.82291,0.71306,0.46992,1.09613,0.81118,0.00135344,0.00135344,0.00135344
21,1835.92,0.50636,0.8922,1.00646,0.81683,0.91764,0.9419,0.83088,0.45252,1.00539,0.77839,0.00133693,0.00133693,0.00133693
22,1920.07,0.50644,0.79001,1.01531,0.60716,0.92882,0.75619,0.71827,0.3436,1.27592,0.6764,0.00132043,0.00132043,0.00132043
23,2003.14,0.48908,0.84328,0.98465,0.73775,0.8316,0.85079,0.74996,0.42752,1.06368,0.74861,0.00130393,0.00130393,0.00130393
24,2086.75,0.46515,0.8462,0.98051,0.79781,0.94444,0.893,0.86046,0.32357,1.01733,0.63919,0.00128742,0.00128742,0.00128742
25,2170.28,0.45928,0.79492,0.96582,0.79372,0.93924,0.9128,0.87526,0.33004,1.15554,0.64715,0.00127092,0.00127092,0.00127092
26,2254.05,0.50016,0.76768,1.01701,0.81946,0.97049,0.95493,0.93847,0.26464,0.81492,0.59701,0.00125442,0.00125442,0.00125442
27,2337.42,0.47823,0.74705,0.97109,0.86398,0.962,0.94915,0.90584,0.33886,0.82844,0.64923,0.00123791,0.00123791,0.00123791
